OTUID	PL_1	PL_10	PL_11	PL_12	PL_13	PL_15	PL_16	PL_17	PL_18	PL_19	PL_2	PL_20	PL_21	PL_22	PL_24	PL_3	PL_4	PL_5	PL_6	PL_7	PL_8	PL_9	SUB_1	SUB_10	SUB_11	SUB_12	SUB_13	SUB_15	SUB_16	SUB_17	SUB_18	SUB_19	SUB_2	SUB_20	SUB_21	SUB_22	SUB_24	SUB_3	SUB_4	SUB_5	SUB_6	SUB_7	SUB_8	SUB_9	SUR_1	SUR_10	SUR_11	SUR_12	SUR_13	SUR_15	SUR_16	SUR_17	SUR_18	SUR_19	SUR_2	SUR_20	SUR_21	SUR_22	SUR_24	SUR_3	SUR_4	SUR_5	SUR_6	SUR_7	SUR_8	SUR_9
ASV_55	1	24	3	47	13	0	12	34	6	3	1	30	6	22	15	5	18	18	10	15	1	2	2	24	40	28	28	33	27	38	11	27	0	44	21	6	16	24	53	12	4	19	36	2	13	16	29	29	21	31	51	39	29	17	7	20	21	38	18	14	26	35	12	18	23	24
ASV_40	14	37	6	50	15	0	20	24	7	8	0	10	7	28	0	31	8	36	5	0	13	13	16	65	11	36	53	70	43	103	22	20	28	11	22	0	0	77	25	163	42	30	80	42	11	9	5	20	9	6	10	16	8	3	1	1	14	0	0	10	1	16	8	0	1	8
ASV_46	15	32	6	12	16	1	9	8	24	7	0	2	9	7	0	7	21	8	5	0	4	18	52	47	84	28	21	50	45	73	52	6	82	4	81	1	0	25	72	44	32	26	12	109	4	35	19	1	0	11	5	3	60	1	1	2	33	6	2	1	0	9	1	0	1	5
ASV_119	27	90	15	26	11	0	16	30	5	22	15	0	2	2	0	15	37	20	25	24	25	67	30	48	11	26	27	23	45	42	5	1	93	0	16	0	0	9	21	26	34	31	56	72	33	18	0	33	6	8	47	22	1	8	12	1	7	0	0	2	2	2	16	10	2	17
ASV_44	1	11	7	51	8	0	36	12	2	4	0	3	4	3	49	1	17	72	8	4	0	1	0	15	3	3	5	4	39	28	16	4	2	3	2	19	21	0	8	3	0	12	0	1	1	51	11	28	27	25	26	33	7	67	55	73	0	36	85	4	89	32	5	7	21	80
ASV_61	4	5	12	8	17	0	54	1	0	18	0	14	4	4	14	12	4	75	10	7	3	2	0	4	1	1	9	1	0	7	13	15	0	30	12	21	9	3	11	4	2	8	2	0	1	12	17	88	13	55	29	26	2	63	22	175	1	9	20	32	96	14	11	14	62	34
ASV_54	105	8	27	10	14	0	3	18	77	93	69	9	41	83	4	65	43	17	46	3	43	131	22	4	56	10	16	10	13	17	7	28	22	17	16	0	0	19	2	31	33	3	2	9	0	3	1	0	6	0	0	2	10	6	1	3	30	2	11	2	2	3	0	0	1	0
ASV_53	2	77	42	95	76	0	40	93	20	91	3	21	11	3	0	16	10	95	153	71	22	21	2	46	20	58	7	28	51	63	0	5	19	4	0	2	13	10	15	34	32	3	29	30	0	11	1	3	0	7	25	5	0	4	0	0	0	3	0	0	1	0	9	0	1	5
ASV_66	14	15	42	24	28	0	29	42	0	2	9	0	17	6	3	124	157	83	59	17	46	76	2	28	11	35	14	9	5	26	0	0	19	2	30	0	0	37	12	21	107	6	3	21	0	1	0	0	1	4	6	1	0	1	1	1	1	1	5	0	0	3	1	0	0	0
ASV_47	266	2	6	1	0	0	0	2	0	0	9	0	5	0	0	16	4	26	213	0	217	438	6	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_50	2	5	2	7	2	0	1	2	0	1	0	27	1	1	9	5	19	0	1	1	4	4	0	8	5	1	6	35	0	1	1	4	0	0	0	8	14	4	0	2	2	1	5	0	10	27	19	87	35	78	8	67	0	27	38	39	0	18	5	107	33	31	62	119	54	49
ASV_65	3	33	17	25	24	0	25	27	2	5	1	8	4	5	5	1	11	26	31	33	1	4	3	36	54	60	13	29	14	30	7	14	10	13	13	10	3	1	35	19	19	16	3	14	33	62	61	22	9	31	21	12	7	17	23	11	3	2	9	27	45	78	18	4	16	22
ASV_52	10	5	3	4	4	0	13	5	5	7	1	50	45	4	17	5	14	2	1	1	10	4	0	3	4	0	4	11	2	2	16	5	0	3	4	35	29	4	2	1	0	1	1	0	29	34	8	39	43	35	8	51	87	38	11	31	212	61	5	45	25	13	35	45	21	20
ASV_48	0	28	56	26	1	0	156	288	4	20	5	70	36	6	0	0	23	212	260	242	1	1	0	0	0	0	0	0	0	1	0	0	10	0	0	0	1	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_49	4	0	2	0	0	0	1	0	0	19	0	1	1561	0	4	47	0	1	4	0	1	0	1	0	1	0	4	0	0	0	0	1	0	0	0	0	2	2	6	0	0	0	3	0	92	1	0	0	7	2	0	1	0	5	8	1	0	3	13	4	36	6	1	1	26	0
ASV_59	71	121	5	11	37	0	4	2	0	23	1	6	69	0	35	46	3	37	43	5	26	10	28	24	10	1	12	2	0	0	9	26	4	3	2	7	2	14	5	3	14	20	2	1	37	8	31	12	27	3	5	8	9	11	18	8	46	10	44	3	5	7	47	66	22	12
ASV_60	1	106	113	61	138	0	32	117	14	16	2	18	89	36	0	0	7	23	40	65	0	0	0	35	31	56	39	46	52	92	0	8	9	13	0	4	9	3	25	7	11	13	11	4	0	1	1	2	0	10	23	10	0	0	0	0	0	1	1	0	3	0	1	0	0	2
ASV_62	61	15	48	2	0	0	0	6	0	1	3	0	4	0	0	263	83	4	61	0	15	22	47	3	3	0	0	1	0	12	0	0	42	0	0	0	0	12	1	1	98	2	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	8	5	6	9	23	0	7	7	0	14	1	35	5	2	9	4	29	15	1	3	6	5	3	12	25	4	25	21	3	7	38	17	2	32	25	42	40	4	12	3	3	8	24	5	46	31	26	21	56	26	7	55	84	35	11	20	28	34	6	24	26	51	12	32	17	24
ASV_56	0	0	14	0	4	0	59	0	0	7	0	13	1	0	48	0	1	36	1	0	0	0	0	0	0	0	1	0	0	0	5	14	0	6	0	625	397	0	1	4	0	0	0	0	0	0	0	2	0	0	0	0	0	70	1	20	0	22	18	0	0	0	0	0	0	0
ASV_72	0	60	0	80	22	0	12	47	3	36	1	14	2	8	3	12	12	24	46	24	4	2	0	24	3	116	12	63	85	71	3	36	3	40	0	2	1	8	29	10	15	56	44	6	0	13	0	7	0	5	40	20	0	3	7	2	0	18	10	1	15	0	7	5	10	14
ASV_58	0	7	10	27	24	0	3	7	8	27	1	6	47	7	0	27	16	13	3	1	5	10	10	26	3	15	55	89	10	32	12	8	23	2	157	0	0	37	11	38	19	40	41	20	4	15	1	25	15	10	8	16	7	6	1	5	17	0	0	22	6	13	15	6	4	4
ASV_64	8	7	3	2	2	0	3	0	0	2	0	11	2	5	0	0	5	3	4	1	0	5	1	17	5	13	0	24	1	3	4	3	0	2	10	1	2	4	5	1	1	2	10	0	25	49	42	5	94	35	8	16	39	69	13	45	17	16	0	28	47	129	41	45	31	23
ASV_85	2	5	2	15	17	0	15	20	8	4	2	17	5	16	9	0	19	8	5	5	3	7	0	14	9	27	13	21	38	15	4	11	5	19	11	33	25	7	31	9	2	43	27	5	10	24	18	47	14	44	33	44	5	15	45	41	8	16	2	27	16	14	22	34	25	40
ASV_84	7	35	3	27	39	0	30	29	0	3	1	4	6	0	9	9	28	35	30	52	4	5	5	61	51	77	11	5	61	42	3	10	22	31	9	7	9	3	39	25	27	7	3	16	4	23	10	1	5	7	23	9	0	22	7	17	3	8	16	6	12	21	4	0	3	6
ASV_74	0	6	1	0	1	0	15	2	0	1	0	8	2	79	8	1	14	0	0	0	0	0	1	9	6	3	11	29	2	8	0	12	0	6	15	4	13	14	18	2	0	2	1	0	9	29	8	14	23	41	43	63	13	53	15	59	8	62	62	26	60	2	2	16	2	3
ASV_69	0	0	8	3	10	0	5	2	0	25	0	17	10	0	17	0	6	9	1	3	0	3	0	6	15	16	26	17	2	2	19	41	0	34	44	30	68	1	17	8	0	20	23	3	0	14	22	39	18	25	11	31	29	15	4	35	6	19	23	22	28	21	6	31	39	34
ASV_67	1	79	3	86	43	0	61	123	0	22	1	74	3	2	0	4	11	25	3	90	2	5	2	13	10	5	8	1	90	48	1	69	27	52	0	42	76	0	13	57	2	1	3	33	0	0	1	0	0	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0
ASV_79	32	11	7	19	13	0	2	5	6	6	4	2	29	2	0	68	21	84	42	0	36	33	69	19	11	6	34	35	8	23	15	1	64	0	45	0	0	38	2	46	39	5	15	12	5	0	1	0	14	1	0	2	5	3	2	0	3	0	0	6	1	2	7	0	0	1
ASV_73	5	25	5	8	7	0	8	10	0	25	0	4	7	1	1	3	1	8	9	7	3	9	0	39	18	25	16	51	38	23	9	3	5	4	26	0	4	52	33	6	21	27	58	41	12	22	2	20	4	14	39	33	7	5	13	5	5	0	0	6	18	16	36	9	13	24
ASV_71	17	1	25	2	1	0	6	4	12	41	17	13	17	247	11	35	14	9	5	0	11	5	3	11	25	1	1	4	8	5	3	9	21	43	6	1	6	38	3	4	17	0	3	1	31	10	5	2	12	4	0	8	10	33	4	13	104	2	12	11	12	19	3	0	4	5
ASV_82	5	8	10	13	5	0	6	6	0	30	0	21	1	1	0	10	8	19	21	10	2	11	5	25	3	7	14	9	2	7	16	6	14	6	6	2	11	16	9	7	4	16	33	3	10	25	3	67	15	17	10	25	9	8	41	5	4	7	1	37	29	23	40	67	42	32
ASV_68	237	0	3	0	0	0	0	0	0	0	29	0	0	2	0	29	32	0	10	0	29	73	103	2	3	0	0	0	0	0	0	0	39	0	0	0	0	23	3	0	173	2	5	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_70	0	0	0	0	0	758	1	0	89	1	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	15	20	19	11	10	0	1	20	3	2	4	0	7	4	0	17	24	13	2	1	5	9	30	22	20	12	39	48	5	34	2	1	118	0	19	0	0	48	18	61	71	10	49	97	1	2	1	0	0	1	1	4	0	2	1	0	0	0	0	2	0	2	2	0	0	0
ASV_75	20	6	1	3	0	0	0	4	0	0	0	0	0	12	0	0	2	2	3	0	1	3	2	14	0	0	1	1	0	3	0	0	2	0	0	0	0	0	0	1	0	2	12	1	28	41	1	59	17	6	1	28	0	0	147	0	0	0	0	19	36	35	108	101	71	76
ASV_81	3	22	3	30	38	0	17	9	7	21	29	2	19	0	0	6	18	24	21	4	21	22	1	13	9	14	69	70	12	33	27	5	5	1	24	0	0	30	7	149	12	26	44	7	1	14	2	6	25	10	9	15	2	2	4	1	9	0	0	13	2	16	6	3	2	2
ASV_78	0	4	5	22	3	0	17	11	8	2	0	6	0	1	0	1	6	4	2	17	8	38	5	6	6	77	7	2	103	24	0	5	8	12	0	9	0	1	31	7	6	232	17	231	2	3	0	6	0	5	41	0	0	0	4	5	0	0	0	0	7	1	5	1	10	13
ASV_76	39	16	3	6	0	10	1	2	6	3	0	0	6	53	2	0	4	2	6	1	2	2	9	45	3	34	13	97	7	10	16	1	24	0	40	0	0	6	11	3	18	23	48	13	63	38	6	17	4	8	17	7	2	2	23	0	16	2	0	4	7	27	39	6	9	18
ASV_92	8	56	15	20	9	0	30	61	4	7	5	5	10	6	2	17	26	15	6	57	6	16	2	28	4	29	23	32	44	39	7	5	32	2	16	1	11	6	30	30	14	38	23	40	6	10	1	8	4	3	14	10	3	1	10	1	4	4	1	10	4	3	11	6	3	5
ASV_95	0	1	1	9	14	0	15	0	0	6	0	11	7	3	1	0	15	4	0	4	0	3	0	19	22	21	3	39	5	12	17	21	0	21	33	0	9	6	50	9	1	27	30	1	0	28	23	12	8	11	53	52	11	10	6	17	3	2	0	19	27	30	9	45	25	27
ASV_93	0	2	47	0	10	0	1	0	1	31	0	22	13	0	63	12	4	39	4	7	0	0	0	3	12	0	27	2	0	0	95	25	0	5	22	20	69	2	2	6	0	0	0	0	0	3	28	2	6	0	0	0	49	50	0	21	12	69	58	1	0	2	0	0	0	0
ASV_90	2	13	11	62	21	0	50	70	0	14	5	26	20	4	40	3	71	27	24	51	18	0	0	12	9	32	2	1	22	11	1	29	3	42	7	35	23	0	19	40	5	4	1	4	8	4	12	0	16	5	5	5	11	20	2	15	17	8	19	4	7	13	1	0	4	3
ASV_83	11	1	2	1	0	0	1	0	0	0	0	0	0	3	0	1	0	1	1	4	0	0	0	3	5	1	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	18	12	12	42	56	24	1	12	1	2	13	2	4	0	0	67	7	14	176	136	25	132
ASV_87	0	5	7	43	32	0	18	94	13	10	0	18	13	1	24	1	12	12	2	145	4	1	0	0	45	8	9	0	3	37	12	31	0	40	30	28	4	0	29	31	0	2	0	0	0	6	51	1	8	4	9	7	20	17	0	9	3	6	24	0	13	7	1	0	4	0
