OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_3102	Bacteria	Proteobacteria	Gammaproteobacteria	Competibacterales	Competibacteraceae	Candidatus_Competibacter	uncultured_bacterium
ASV_3117	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	OPB41	OPB41	Unassigned
ASV_3400	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Bauldia	uncultured_bacterium
ASV_3429	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Unassigned	Unassigned	uncultured_bacterium
ASV_3619	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	GOUTA6	Unassigned
ASV_3668	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	Unassigned
ASV_3793	Bacteria	Firmicutes	Clostridia	Clostridia	Hungateiclostridiaceae	uncultured	uncultured_bacterium
ASV_3858	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured_bacterium
ASV_4222	Bacteria	Planctomycetota	Pla4_lineage	Pla4_lineage	Pla4_lineage	Pla4_lineage	Unassigned
ASV_2602	Bacteria	Actinobacteriota	Thermoleophilia	uncultured	uncultured	uncultured	uncultured_bacterium
ASV_2632	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	uncultured	uncultured	uncultured_bacterium
ASV_2634	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	uncultured_bacterium
ASV_2640	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	uncultured_bacterium
ASV_2659	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2708	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_2714	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	uncultured_gamma
ASV_2737	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	SC-I-84	uncultured_bacterium
ASV_2745	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	uncultured_bacterium
ASV_2755	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Unassigned
ASV_2767	Bacteria	Firmicutes	Clostridia	Clostridia	Hungateiclostridiaceae	UCG-012	metagenome
ASV_2782	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	Unassigned
ASV_2785	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41	uncultured_bacterium
ASV_2788	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	Unassigned
ASV_2809	Bacteria	Gemmatimonadota	BD2-11_terrestrial_group	BD2-11_terrestrial_group	BD2-11_terrestrial_group	BD2-11_terrestrial_group	uncultured_bacterium
ASV_2815	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Aestuariimicrobium	Unassigned
